title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
La haine,98,Crime;Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui,8.1,"116,140"
8½,138,Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale,8.1,"87,270"
Jaws,124,Adventure;Drama;Thriller,Steven Spielberg,Peter Benchley;Carl Gottlieb,Roy Scheider;Robert Shaw;Richard Dreyfuss,8.0,"457,531"
De beste jaren van ons leven,170,Drama;Romance;War,William Wyler,Robert E. Sherwood;MacKinlay Kantor,Fredric March;Dana Andrews;Myrna Loy,8.1,"44,727"
Twelve Monkeys,129,Mystery;Sci-Fi;Thriller,Terry Gilliam,Chris Marker;David Webb Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt,8.0,"502,513"
Mou gaan dou,101,Crime;Drama;Mystery,Wai-Keung Lau;Alan Mak,Alan Mak;Felix Chong,Andy Lau;Tony Chiu-Wai Leung;Anthony Chau-Sang Wong,8.1,"100,836"
The Help,146,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer,8.1,"352,882"
"Paris, Texas",145,Drama,Wim Wenders,L.M. Kit Carson;Sam Shepard,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell,8.1,"58,435"
Faa yeung nin wa,98,Drama;Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung;Maggie Cheung;Ping Lam Siu,8.1,"87,602"
Belle en het Beest,84,Animation;Family;Fantasy,Gary Trousdale;Kirk Wise,Linda Woolverton;Brenda Chapman,Paige O'Hara;Robby Benson;Jesse Corti,8.0,"346,981"
De slag om Algiers,121,Drama;War,Gillo Pontecorvo,Franco Solinas;Franco Solinas,Brahim Hadjadj;Jean Martin;Yacef Saadi,8.1,"42,496"
Ah-ga-ssi,144,Crime;Drama;Mystery,Chan-wook Park,Sarah Waters;Seo-kyeong Jeong,Min-hee Kim;Jung-woo Ha;Jin-woong Jo,8.1,"45,761"
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure;Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.0,"890,139"
Dead Poets Society,128,Comedy;Drama,Peter Weir,Tom Schulman,Robin Williams;Robert Sean Leonard;Ethan Hawke,8.0,"304,959"
Dog Day Afternoon,125,Biography;Crime;Drama,Sidney Lumet,Frank Pierson;P.F. Kluge,Al Pacino;John Cazale;Penelope Allen,8.0,"200,129"
PK,153,Comedy;Drama;Fantasy,Rajkumar Hirani,Rajkumar Hirani;Abhijat Joshi,Aamir Khan;Anushka Sharma;Sanjay Dutt,8.2,"112,495"
Tenkû no shiro Rapyuta,125,Animation;Adventure;Family,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman,8.1,"110,322"
